case_id,agent_type,persona_type,difficulty,s_raw,i_fatal,s_agent_hard_zero,s_agent_cap_30,s_agent_cap_40,s_agent_severity
CASE_090,Reflection,VIP,medium,76.0,0,76.0,76.0,76.0,76.0
CASE_090,Reflection,VIP,medium,77.9,0,77.9,77.9,77.9,77.9
CASE_141,Reflection,VIP,easy,92.0,0,92.0,92.0,92.0,92.0
CASE_141,Reflection,VIP,easy,82.4,0,82.4,82.4,82.4,82.4
CASE_141,Reflection,VIP,easy,83.9,0,83.9,83.9,83.9,83.9
CASE_001,Single-slot,VIP,medium,94.2,0,94.2,94.2,94.2,94.2
CASE_001,Single-slot,VIP,medium,95.8,0,95.8,95.8,95.8,95.8
CASE_001,Single-slot,VIP,medium,88.9,0,88.9,88.9,88.9,88.9
CASE_002,Single-slot,VIP,hard,92.7,0,92.7,92.7,92.7,92.7
CASE_002,Single-slot,VIP,hard,95.8,0,95.8,95.8,95.8,95.8
CASE_002,Single-slot,VIP,hard,95.8,0,95.8,95.8,95.8,95.8
CASE_015,Single-slot,VIP,easy,98.6,0,98.6,98.6,98.6,98.6
CASE_015,Single-slot,VIP,easy,98.5,0,98.5,98.5,98.5,98.5
CASE_015,Single-slot,VIP,easy,98.7,0,98.7,98.7,98.7,98.7
CASE_075,Single-slot,VIP,easy,100.0,0,100.0,100.0,100.0,100.0
CASE_075,Single-slot,VIP,easy,100.0,0,100.0,100.0,100.0,100.0
CASE_075,Single-slot,VIP,easy,100.0,0,100.0,100.0,100.0,100.0
CASE_090,Single-slot,VIP,medium,91.6,0,91.6,91.6,91.6,91.6
CASE_090,Single-slot,VIP,medium,93.2,0,93.2,93.2,93.2,93.2
CASE_090,Single-slot,VIP,medium,93.2,0,93.2,93.2,93.2,93.2
CASE_141,Single-slot,VIP,easy,100.0,0,100.0,100.0,100.0,100.0
CASE_141,Single-slot,VIP,easy,100.0,0,100.0,100.0,100.0,100.0
CASE_141,Single-slot,VIP,easy,100.0,0,100.0,100.0,100.0,100.0
